Nation,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Romania,0.3039831294279505,0.42505958665464705,0.26827192257664834,0.427940303277987,0.418911250718453,0.34876299890269186,0.5761177979087223,0.6432161043656991,0.5083958688982534,0.45798371198062054,0.5029095267563859,0.571457890465115,0.5174437021344234,0.516271846682014
Kyrgyzstan,0.524180058278829,0.6658647148868492,0.6067875745199709,0.6090012359345851,0.6242368985811829,0.5978374516539058,0.7543063240654391,0.8245996639169609,0.6786887581854728,0.643384928503602,0.6674293593305884,0.7047679914221235,0.6278626067555718,0.6588501654372129
Slovakia,0.5035135296270605,0.5589182727007347,0.42715880388741356,0.4281115446264757,0.4534192570190134,0.4433136859110225,0.6287945397702048,0.5889526561742142,0.38800539912160414,0.39106620577699597,0.43777779476267203,0.5165494097284558,0.4646685992271305,0.4647663058705641
Lithuania,0.6096303863782755,0.7594932007518972,0.7144108209459714,0.7405720676977533,0.6448591473656381,0.6089155499501957,0.7336879332715002,0.7072053967497466,0.594808431790844,0.6079788353871385,0.647481337053557,0.7056392690276249,0.6701944464445768,0.6678886343750517
Sweden,0.8584870751157185,0.9834376764394748,0.9055062941245973,0.865367443808661,0.7020773187976173,0.7143807460070822,0.820777512064716,0.806061768967973,0.6986535187951466,0.6171401355041667,0.6994448505678194,0.7536041963665066,0.722837083663659,0.7210772356777493
Slovenia,0.4954209714932528,0.5194173003359981,0.48693316389262226,0.48974247752990924,0.5238359768230735,0.5139828382568813,0.7281841194279185,0.7374856423358914,0.5988313954860578,0.5580596835903092,0.5747026317688722,0.627006918198031,0.587812965990531,0.5852656977322842
Latvia,0.3287907673677288,0.4941041876334717,0.5187093775747015,0.5419895913137629,0.49560408433501996,0.4270558819363552,0.6641425553543485,0.6577413307216561,0.5034600842293948,0.49732120923353235,0.5480922710860153,0.6478639128221437,0.611698721006571,0.608766161337499
Iceland,0.5132983975724822,0.6263217834021598,0.5804992468254607,0.5793230121378709,0.5776253075760988,0.5764723658383522,0.7798753007018454,0.7663346667975535,0.6479252215046347,0.6011548747535753,0.6226457156477668,0.665769958297529,0.662004708201723,0.6576349504049037
Hungary,0.5514655243272765,0.6530373113219521,0.5854642943452968,0.5868828337259158,0.5578074224333106,0.5585365531644164,0.7042458039985103,0.7007046504924599,0.5915511571288148,0.5784969451738328,0.6010375528214947,0.6363369778521686,0.5927468210965563,0.5928765457726362
Liechtenstein,0.3203511823067891,0.4254608294813467,0.2880933238146151,0.1456011014410578,0.3419712567637369,0.4068702782423546,0.5978424494577377,0.5398585976542694,0.31417559864415284,0.2766518703587481,0.31270705803704557,0.41276030926521035,0.28143760756584485,0.2805466419778376
