Nation,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Romania,0.3039831294279507,0.42505958665464694,0.2682719225766481,0.42794030327798704,0.4189112507184527,0.3487629989026916,0.5761177979087223,0.6432161043656989,0.5083958688982533,0.4579837119806208,0.5029095267563858,0.571457890465115,0.5174437021344235,0.5162718466820141
Kyrgyzstan,0.524180058278829,0.6658647148868493,0.6067875745199709,0.6090012359345853,0.6242368985811827,0.5978374516539059,0.7543063240654391,0.8245996639169609,0.6786887581854726,0.6433849285036018,0.6674293593305879,0.7047679914221235,0.6278626067555719,0.6588501654372132
Slovakia,0.5035135296270605,0.5589182727007348,0.42715880388741334,0.428111544626476,0.45341925701901314,0.44331368591102305,0.6287945397702045,0.588952656174214,0.38800539912160376,0.3910662057769961,0.437777794762672,0.5165494097284558,0.46466859922713055,0.46476630587056394
Lithuania,0.6096303863782755,0.7594932007518972,0.714410820945971,0.7405720676977531,0.6448591473656381,0.6089155499501958,0.7336879332715005,0.7072053967497464,0.5948084317908439,0.6079788353871385,0.6474813370535569,0.7056392690276249,0.670194446444577,0.6678886343750516
Sweden,0.8584870751157189,0.9834376764394743,0.9055062941245973,0.8653674438086618,0.7020773187976166,0.7143807460070823,0.820777512064716,0.8060617689679724,0.6986535187951464,0.617140135504167,0.6994448505678191,0.7536041963665072,0.7228370836636592,0.7210772356777496
Slovenia,0.4954209714932525,0.5194173003359978,0.48693316389262226,0.4897424775299089,0.5238359768230733,0.5139828382568814,0.7281841194279185,0.7374856423358912,0.5988313954860576,0.5580596835903091,0.574702631768872,0.627006918198031,0.5878129659905311,0.5852656977322844
Latvia,0.3287907673677288,0.4941041876334716,0.5187093775747015,0.541989591313763,0.4956040843350197,0.4270558819363553,0.6641425553543489,0.6577413307216557,0.5034600842293947,0.4973212092335319,0.5480922710860149,0.6478639128221434,0.6116987210065715,0.6087661613374993
Iceland,0.5132983975724825,0.6263217834021604,0.5804992468254607,0.5793230121378705,0.5776253075760984,0.5764723658383522,0.7798753007018456,0.7663346667975529,0.6479252215046346,0.6011548747535755,0.6226457156477663,0.665769958297529,0.6620047082017232,0.6576349504049039
Hungary,0.5514655243272765,0.6530373113219522,0.5854642943452968,0.5868828337259159,0.55780742243331,0.5585365531644165,0.7042458039985103,0.7007046504924597,0.5915511571288147,0.5784969451738327,0.6010375528214945,0.6363369778521686,0.5927468210965564,0.5928765457726365
Liechtenstein,0.32035118230678894,0.42546082948134684,0.2880933238146151,0.14560110144105792,0.34197125676373663,0.4068702782423547,0.5978424494577377,0.539858597654269,0.31417559864415284,0.27665187035874816,0.3127070580370456,0.4127603092652105,0.2814376075658444,0.28054664197783746
