Nation,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Romania,0.4746708256694268,0.477850537465539,0.44803213294257943,0.4914685165216453,0.46045420013608046,0.4796082016071423,0.5110900039988902,0.5187975384920179,0.5055562800791191,0.5046759172812247,0.5131593021711344,0.5415317526804522,0.5331368135165986,0.5363992579487248
Kyrgyzstan,0.5459417770443419,0.5433542647782331,0.5325297241303014,0.5357709499730217,0.5233648751811574,0.5475938564676779,0.5782266149698178,0.5895671155408924,0.5563629917806895,0.5605926547292346,0.5630599155630102,0.5845468199839083,0.56321959781274,0.5755330871444986
Slovakia,0.53925265941534,0.5142627307338795,0.48769221561532083,0.4915104162751384,0.47102726781381843,0.5054161088524333,0.5309371737457229,0.4976258221180232,0.46963790488940477,0.4844936946656581,0.4934041557738409,0.5238144756139558,0.5187586412062142,0.522039616205402
Lithuania,0.5735994115569036,0.5688230529715255,0.5593937849989618,0.5679640240548011,0.5296834213807289,0.5506176582223883,0.570458163703984,0.5437639421113932,0.5313373810320358,0.5499142285032252,0.5570094684405958,0.5848279544558769,0.5747525830981173,0.5777928043918137
Sweden,0.6541466428688353,0.6297403514373545,0.607093520824398,0.5984992630159238,0.5472147616058783,0.5794047150229668,0.6032711584414774,0.5823342715711192,0.5623194579651098,0.5526772633038237,0.5727705542488325,0.6003047605109018,0.5890946661469864,0.5924897291713449
Slovenia,0.53663334805499,0.5035176899560478,0.5026126170981849,0.506590424222955,0.4926025723286012,0.5247054761384113,0.5683844757014916,0.5555782442365089,0.5325376281915274,0.5348586848719639,0.5349349137881387,0.5594557145514548,0.5523083801330645,0.555407560670226
Latvia,0.4827002925950523,0.49663202583388305,0.5105443434387194,0.5193743762742001,0.4839524721939562,0.5009784901500606,0.5442553487261915,0.5244647782809676,0.5040836937031328,0.5165400492810286,0.5268637086338622,0.5661856248963082,0.5588158710229931,0.5616492331204604
Iceland,0.5424197192430472,0.532597810295171,0.5259678403480075,0.5285092093235204,0.5090833341969775,0.5417621891317557,0.5878603129097928,0.5668341334939222,0.5471847216508788,0.5478561318938363,0.5494765605672646,0.571963354758735,0.5725213516812966,0.5752778694636643
Hungary,0.5547732404717803,0.5398649589174598,0.5272071761162364,0.5303589650267226,0.5030112406944057,0.5368665526799861,0.5593651667429,0.5412275762783024,0.5303655764230516,0.5410225332627889,0.5429225751757698,0.562466237693264,0.5536525711428578,0.557338721172155
Liechtenstein,0.47996865932640653,0.477959683399844,0.4529797938526692,0.42238506756019195,0.43688019947888396,0.49546876616699675,0.5192752643575871,0.4784710223905028,0.4476108584076475,0.44998649738910895,0.4554688723351851,0.4903249267369998,0.4688387618392997,0.4716110637835173
Italy,0.5058336951934466,0.49746265238184545,0.4845822010480542,0.49635401722724676,0.4583188502496364,0.5125511837454161,0.5337869675936171,0.506571792696969,0.49220677791045075,0.5095971153244013,0.5128265107258367,0.5379647103156869,0.5337591838960694,0.5377078295371103
Portugal,0.5551807709106458,0.5777299757291664,0.567401948321341,0.5653142538463974,0.5367472148209792,0.5685151293518061,0.59086384957813,0.5702866374056265,0.5534293257358367,0.5539039445834425,0.5585634730516503,0.57748978414528,0.5704751960876774,0.573770053548645
Switzerland,0.6318962743304141,0.6282466770924197,0.6165979683723978,0.6112182620667959,0.5993357132867041,0.6144042937440588,0.6289668076694335,0.631779364272685,0.6200678759476037,0.6185994018532749,0.6202746945422402,0.6425464531389224,0.6343365920943373,0.6376648061062106
Panama,0.574079027260808,0.557198551591604,0.5448204169207483,0.5471014775886958,0.5263690730452938,0.5591727406426736,0.578815417626312,0.5474443960963667,0.5082760889953111,0.5145954766710291,0.5130709169943629,0.5365382963138114,0.5269942918123596,0.529426642259629
Kazakhstan,0.4955970297630548,0.49026410757330285,0.4833510090149599,0.49381755681617623,0.4679222311677857,0.5096241273338609,0.5369052624706567,0.5037809445170319,0.4767520618050321,0.49190558116056843,0.490905013108412,0.5198491560695894,0.5086430603601662,0.5181312090979543
Denmark,0.5904037877839861,0.5921829512786654,0.571699289860289,0.5707498100077024,0.5520567872269773,0.5863301229230475,0.6058896929884744,0.5939647274932099,0.5806273012539164,0.5792151080362162,0.58856066615071,0.6167517160904593,0.610559134144065,0.6138250656321615
Brunei Darussalam,0.4372567656096675,0.4251991994479996,0.39851248606502426,0.4197473262607812,0.3911431607492413,0.44585150639925664,0.49002186255904634,0.43459808481696516,0.41973098226874306,0.45317595733001054,0.44825991461032294,0.48468229259651796,0.4968028069933459,0.5185470012033525
Estonia,0.53791779783443,0.5440095663597599,0.5268367084334578,0.5264034163216237,0.5040315758648203,0.5460028136467686,0.570171260328693,0.563428299501161,0.538450013611703,0.5413205053609624,0.5558296138977021,0.5780870748625754,0.5707743652554607,0.5743719600755877
Malta,0.5124702324341965,0.4859101246129902,0.470339394908353,0.49867784129056864,0.4733044766631632,0.4813419284523412,0.6206270091670625,0.5973944561312516,0.6033120086055396,0.5855023692166446,0.5721458155051778,0.6022979381414537,0.5934133270320074,0.5975426183738342
Poland,0.5182479259795534,0.5133217085344768,0.524513649933712,0.5286284762173695,0.4992789473350511,0.5260293805475778,0.5168860032883301,0.4918042444827923,0.4975875528389587,0.5085577765603019,0.5162966709215631,0.5450477114283632,0.5311453614676359,0.6034395343605838
United Kingdom of Great Britain and Northern Ireland,0.5732550647601409,0.5652676408765696,0.5530236331008836,0.5544794635763952,0.5426873662088645,0.5767842554381132,0.5937632547547523,0.587086981187925,0.5781081149267793,0.5758603304913223,0.5821997821008237,0.6028568745185272,0.5938793671459608,0.5973818195397298
Bahrain,0.46093336792387823,0.45838498801310545,0.4410881107251052,0.44754064543562927,0.41121639490014333,0.470197809540353,0.5011586392568991,0.4513529024987059,0.4345566416686745,0.4893211224353219,0.47613044094139684,0.4994415418173615,0.4931472514397511,0.5003479946381315
Greece,0.5440390193113175,0.5409942451349548,0.5429400179239052,0.5439146548369871,0.5274200103586857,0.5585379694810647,0.5815833231835094,0.5630078558889944,0.5374920094258815,0.5450771368606172,0.5321066547567922,0.5704283561794795,0.5603499975817742,0.5634137862368747
"China, Hong Kong Special Administrative Region",0.5873313409262376,0.5800712216341376,0.5653514859403184,0.5855559170477351,0.5530447257834683,0.5897796054791252,0.6133924301904697,0.6039702382004866,0.5776778393470332,0.5761853590490993,0.5798236046708152,0.6005866942332788,0.5943156382093258,0.6098841987771766
Ireland,0.6065427565077657,0.596214482949484,0.5904434102512667,0.5676848400098989,0.5421973624868057,0.584847126955677,0.6072072220559218,0.5760655754307014,0.5577309590895997,0.5978548061507674,0.5942536183149809,0.5755899227182695,0.5637180045016442,0.5681360653196847
Georgia,0.6999500100682927,0.61204327544023,0.5956670449574125,0.5927756913876118,0.5584339533943884,0.6029255139981669,0.6148976416589423,0.5795463291810004,0.5503667526947257,0.5547980035715735,0.5672428345436805,0.5876356528673411,0.5848157933438685,0.6044611813565758
Lao People's Democratic Republic,0.46478188083614264,0.46570642754821845,0.4581463498469086,0.3879672994941453,0.35875538563305776,0.4074695306077734,0.44841533061083916,0.4313374437863736,0.4232159081822044,0.441917326644768,0.4490430551950529,0.5073592479800603,0.5007470759480483,0.5095600241590991
